date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2018-01-01 00:00:00,9.8,1012.7,82,0.0,232,14.6,29.2,100,,3
2018-01-01 01:00:00,9.6,1012.4,85,0.1,260,8.4,18.4,100,,51
2018-01-01 02:00:00,8.4,1012.3,92,0.2,338,19.9,23.8,100,,51
2018-01-01 03:00:00,7.4,1013.0,92,0.3,314,22.7,29.5,100,,51
2018-01-01 04:00:00,6.9,1013.3,92,0.2,321,24.1,33.8,100,,51
2018-01-01 05:00:00,6.7,1013.4,90,0.1,328,22.2,33.8,99,,51
2018-01-01 06:00:00,6.6,1013.8,89,0.1,321,23.3,32.8,100,,51
2018-01-01 07:00:00,6.3,1014.2,86,0.0,313,22.7,33.1,82,,3
2018-01-01 08:00:00,6.0,1014.4,83,0.0,315,20.4,32.0,72,,2
2018-01-01 09:00:00,5.9,1014.5,79,0.0,322,16.9,28.8,44,,1
2018-01-01 10:00:00,6.0,1014.6,77,0.0,323,14.9,24.8,31,,1
2018-01-01 11:00:00,6.0,1014.9,76,0.0,319,13.3,22.0,17,,0
2018-01-01 12:00:00,6.2,1014.9,74,0.0,323,14.4,20.9,26,,1
2018-01-01 13:00:00,6.8,1014.5,69,0.0,323,14.9,21.6,76,,2
2018-01-01 14:00:00,7.1,1014.5,68,0.0,331,14.8,21.2,94,,3
2018-01-01 15:00:00,6.5,1014.7,75,0.0,354,17.0,26.3,67,,2
2018-01-01 16:00:00,5.8,1015.1,83,0.0,8,19.7,28.1,0,,0
2018-01-01 17:00:00,5.5,1015.6,82,0.0,5,17.3,28.1,6,,0
2018-01-01 18:00:00,5.2,1015.7,80,0.0,1,14.4,25.2,6,,0
2018-01-01 19:00:00,5.2,1016.0,78,0.0,357,13.0,22.0,11,,0
2018-01-01 20:00:00,5.2,1016.2,76,0.0,4,11.2,20.2,17,,0
2018-01-01 21:00:00,5.4,1016.3,75,0.0,9,9.1,18.0,31,,1
2018-01-01 22:00:00,5.7,1016.3,72,0.0,16,9.0,15.5,63,,2
2018-01-01 23:00:00,5.8,1016.3,73,0.0,27,9.7,15.5,65,,2
2018-01-02 00:00:00,5.6,1016.4,74,0.0,34,10.4,16.9,49,,1
2018-01-02 01:00:00,5.5,1016.3,75,0.0,33,10.7,17.3,1,,0
2018-01-02 02:00:00,5.4,1016.2,76,0.0,35,11.9,18.4,4,,0
2018-01-02 03:00:00,5.8,1016.4,73,0.0,50,8.9,19.1,6,,0
2018-01-02 04:00:00,5.8,1016.5,73,0.0,54,8.0,14.8,0,,0
2018-01-02 05:00:00,5.8,1016.8,73,0.0,51,7.9,14.0,1,,0
2018-01-02 06:00:00,5.8,1017.1,73,0.0,56,9.6,15.5,2,,0
2018-01-02 07:00:00,5.7,1017.0,73,0.0,62,10.6,16.9,4,,0
2018-01-02 08:00:00,5.7,1017.1,75,0.0,61,10.3,16.9,5,,0
2018-01-02 09:00:00,5.7,1017.2,77,0.0,62,11.4,17.6,5,,0
2018-01-02 10:00:00,5.8,1017.3,80,0.0,76,13.4,19.8,12,,0
2018-01-02 11:00:00,6.1,1017.5,76,0.0,82,12.4,20.5,100,,3
2018-01-02 12:00:00,6.2,1016.8,80,0.0,86,10.5,18.7,100,,3
2018-01-02 13:00:00,6.7,1016.2,80,0.0,94,10.5,16.6,100,,3
2018-01-02 14:00:00,7.1,1015.9,79,0.0,98,13.1,18.7,100,,3
2018-01-02 15:00:00,7.8,1015.7,77,0.0,112,13.2,19.8,100,,3
2018-01-02 16:00:00,8.1,1015.6,76,0.0,119,15.6,20.9,100,,3
2018-01-02 17:00:00,8.3,1015.8,77,0.0,117,16.6,22.3,100,,3
2018-01-02 18:00:00,8.4,1015.8,77,0.0,108,18.2,24.1,100,,3
2018-01-02 19:00:00,8.3,1015.6,77,0.1,105,20.9,27.0,100,,51
2018-01-02 20:00:00,8.2,1015.6,79,0.0,108,21.5,28.8,100,,3
2018-01-02 21:00:00,7.5,1015.7,87,0.0,100,22.3,29.9,100,,3
2018-01-02 22:00:00,7.3,1015.5,89,0.0,101,21.6,30.2,100,,3
2018-01-02 23:00:00,7.4,1015.3,88,0.0,102,19.8,29.2,96,,3
2018-01-03 00:00:00,7.5,1015.2,89,0.0,97,18.8,27.0,100,,3
