date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2015-01-01 00:00:00,-2.1,1026.6,75,0.0,41,34.2,54.0,98,,3
2015-01-01 01:00:00,-2.1,1025.9,73,0.0,40,32.2,52.2,99,,3
2015-01-01 02:00:00,-2.2,1026.1,75,0.0,36,32.2,50.4,99,,3
2015-01-01 03:00:00,-2.2,1025.8,75,0.0,34,33.2,51.5,97,,3
2015-01-01 04:00:00,-2.3,1025.9,76,0.0,33,33.5,52.6,100,,3
2015-01-01 05:00:00,-2.5,1025.6,78,0.0,32,34.0,53.6,99,,3
2015-01-01 06:00:00,-2.6,1025.7,78,0.0,32,32.7,53.3,99,,3
2015-01-01 07:00:00,-2.6,1025.6,78,0.0,32,31.1,51.8,100,,3
2015-01-01 08:00:00,-2.7,1025.9,77,0.0,32,29.8,49.3,100,,3
2015-01-01 09:00:00,-2.6,1026.0,77,0.0,32,27.2,46.8,99,,3
2015-01-01 10:00:00,-2.4,1026.7,76,0.0,27,25.1,41.8,91,,3
2015-01-01 11:00:00,-2.2,1026.9,75,0.0,21,24.7,39.2,100,,3
2015-01-01 12:00:00,-2.1,1026.2,75,0.0,17,24.0,39.2,98,,3
2015-01-01 13:00:00,-1.9,1025.3,74,0.0,10,21.5,38.5,94,,3
2015-01-01 14:00:00,-1.7,1024.8,74,0.0,3,21.6,37.4,77,,2
2015-01-01 15:00:00,-1.8,1025.0,75,0.0,357,21.3,37.1,83,,3
2015-01-01 16:00:00,-2.0,1024.8,74,0.0,355,20.6,37.1,53,,2
2015-01-01 17:00:00,-2.1,1025.2,72,0.0,354,19.2,35.3,52,,2
2015-01-01 18:00:00,-2.1,1025.3,70,0.0,350,18.3,30.6,28,,1
2015-01-01 19:00:00,-1.9,1025.6,68,0.0,346,16.3,27.7,20,,1
2015-01-01 20:00:00,-1.4,1025.4,66,0.0,342,15.1,25.2,5,,0
2015-01-01 21:00:00,-1.6,1025.3,62,0.0,338,14.4,23.8,4,,0
2015-01-01 22:00:00,-1.5,1025.3,64,0.0,330,12.9,23.8,0,,0
2015-01-01 23:00:00,-1.4,1025.4,64,0.0,320,12.8,21.2,0,,0
2015-01-02 00:00:00,-1.3,1025.4,65,0.0,315,14.3,22.3,0,,0
2015-01-02 01:00:00,-1.2,1025.1,67,0.0,308,16.9,24.8,0,,0
2015-01-02 02:00:00,-1.1,1024.8,69,0.0,308,18.2,26.3,0,,0
2015-01-02 03:00:00,-1.0,1024.3,69,0.0,306,18.3,26.3,1,,0
2015-01-02 04:00:00,-0.9,1023.9,70,0.0,305,18.4,25.9,7,,0
2015-01-02 05:00:00,-0.8,1023.4,72,0.0,302,18.3,24.8,8,,0
2015-01-02 06:00:00,-0.6,1023.6,74,0.0,299,19.3,27.0,18,,0
2015-01-02 07:00:00,-0.4,1023.7,75,0.0,298,20.0,29.2,35,,1
2015-01-02 08:00:00,-0.2,1023.8,77,0.0,294,19.7,29.9,49,,1
2015-01-02 09:00:00,0.2,1023.8,78,0.0,286,19.1,29.9,65,,2
2015-01-02 10:00:00,0.9,1023.8,77,0.0,281,20.2,31.0,64,,2
2015-01-02 11:00:00,1.6,1023.7,75,0.0,277,21.7,35.3,58,,2
2015-01-02 12:00:00,2.3,1023.0,74,0.0,272,22.0,34.6,51,,2
2015-01-02 13:00:00,3.1,1022.2,71,0.0,266,20.2,34.9,43,,1
2015-01-02 14:00:00,3.7,1022.0,69,0.0,262,19.2,34.6,44,,1
2015-01-02 15:00:00,4.2,1021.9,67,0.0,260,16.8,32.8,55,,2
2015-01-02 16:00:00,4.4,1021.8,66,0.0,254,14.6,29.5,62,,2
2015-01-02 17:00:00,4.6,1021.1,66,0.0,245,13.9,23.4,68,,2
2015-01-02 18:00:00,4.9,1021.4,66,0.0,245,13.5,20.5,66,,2
2015-01-02 19:00:00,5.1,1021.3,67,0.0,243,14.2,20.9,84,,3
2015-01-02 20:00:00,5.4,1020.8,68,0.0,240,14.2,21.6,82,,3
2015-01-02 21:00:00,5.8,1020.4,68,0.0,233,15.7,22.7,88,,3
2015-01-02 22:00:00,6.3,1019.9,72,0.0,232,16.9,24.8,99,,3
2015-01-02 23:00:00,6.7,1019.6,75,0.0,232,17.7,25.6,100,,3
2015-01-03 00:00:00,6.8,1019.3,77,0.0,233,18.5,26.6,100,,3
2015-01-03 01:00:00,6.9,1018.4,78,0.0,233,19.8,27.7,94,,3
2015-01-03 02:00:00,7.1,1017.9,79,0.0,235,21.0,28.4,99,,3
2015-01-03 03:00:00,7.1,1017.7,80,0.0,238,22.0,30.6,97,,3
2015-01-03 04:00:00,7.1,1017.3,80,0.0,239,23.1,31.3,97,,3
2015-01-03 05:00:00,7.1,1016.7,81,0.0,245,23.0,31.7,100,,3
2015-01-03 06:00:00,6.8,1016.7,82,0.0,253,21.4,32.0,92,,3
2015-01-03 07:00:00,6.4,1016.1,84,0.0,255,19.0,31.0,68,,2
2015-01-03 08:00:00,6.1,1016.0,84,0.0,247,18.1,28.1,68,,2
2015-01-03 09:00:00,6.3,1015.8,83,0.0,238,20.4,24.5,77,,2
2015-01-03 10:00:00,7.0,1015.6,83,0.0,238,24.3,33.8,93,,3
2015-01-03 11:00:00,7.2,1015.2,81,0.0,239,26.5,38.2,100,,3
2015-01-03 12:00:00,7.4,1014.3,79,0.0,242,27.7,39.6,100,,3
2015-01-03 13:00:00,7.4,1013.4,79,0.0,247,26.1,39.6,100,,3
2015-01-03 14:00:00,7.4,1012.8,78,0.2,259,24.6,38.5,100,,51
2015-01-03 15:00:00,6.9,1013.0,81,0.4,282,26.8,38.9,100,,51
2015-01-03 16:00:00,5.2,1013.1,86,0.5,294,28.0,40.3,100,,53
2015-01-03 17:00:00,3.1,1013.1,93,0.6,293,26.9,40.3,100,,71
2015-01-03 18:00:00,2.4,1013.2,93,0.5,289,27.1,38.9,100,,71
2015-01-03 19:00:00,2.6,1013.7,91,0.2,291,30.6,41.4,86,,51
2015-01-03 20:00:00,3.0,1013.8,87,0.0,292,31.8,43.9,52,,2
2015-01-03 21:00:00,3.3,1013.6,85,0.0,288,31.1,46.1,69,,2
2015-01-03 22:00:00,3.6,1013.6,80,0.0,285,29.4,46.8,98,,3
2015-01-03 23:00:00,3.8,1013.6,75,0.0,282,28.4,44.3,64,,2
2015-01-04 00:00:00,3.9,1013.8,73,0.0,279,27.7,43.2,59,,2
2015-01-04 01:00:00,3.8,1013.4,75,0.0,279,29.2,42.1,42,,1
2015-01-04 02:00:00,3.7,1013.2,77,0.0,280,28.9,42.5,22,,1
2015-01-04 03:00:00,3.5,1013.4,78,0.0,280,27.8,41.4,4,,0
2015-01-04 04:00:00,3.3,1013.5,77,0.0,277,26.8,38.9,2,,0
2015-01-04 05:00:00,3.2,1013.0,76,0.0,272,26.7,37.8,12,,0
2015-01-04 06:00:00,3.3,1012.7,74,0.0,269,27.0,39.6,28,,1
2015-01-04 07:00:00,3.5,1012.5,72,0.0,266,25.6,39.2,42,,1
2015-01-04 08:00:00,3.7,1012.4,70,0.0,260,24.5,36.0,81,,3
2015-01-04 09:00:00,4.1,1012.0,69,0.0,255,23.5,32.8,99,,3
2015-01-04 10:00:00,4.9,1011.8,67,0.0,249,23.9,36.4,99,,3
2015-01-04 11:00:00,5.6,1011.5,64,0.0,245,24.6,37.1,100,,3
2015-01-04 12:00:00,6.3,1010.8,60,0.0,240,22.4,36.0,99,,3
2015-01-04 13:00:00,6.8,1009.6,59,0.0,243,20.6,34.2,96,,3
2015-01-04 14:00:00,7.0,1009.0,58,0.0,242,18.7,32.8,95,,3
2015-01-04 15:00:00,7.1,1008.0,58,0.0,234,17.8,31.3,96,,3
2015-01-04 16:00:00,7.0,1007.5,60,0.0,226,17.1,29.9,85,,3
2015-01-04 17:00:00,6.8,1006.6,62,0.0,223,18.3,29.2,100,,3
2015-01-04 18:00:00,6.4,1006.4,68,0.0,217,19.0,32.4,100,,3
2015-01-04 19:00:00,5.9,1005.6,78,0.1,205,22.7,37.1,100,,51
2015-01-04 20:00:00,5.8,1004.7,84,0.5,204,28.0,42.5,100,,53
2015-01-04 21:00:00,6.0,1003.5,84,0.6,209,29.3,46.8,100,,53
2015-01-04 22:00:00,6.0,1003.3,85,0.8,221,31.9,46.8,100,,53
2015-01-04 23:00:00,5.8,1002.9,85,1.1,223,29.5,46.8,100,,55
2015-01-05 00:00:00,5.7,1002.2,86,1.3,215,25.9,43.2,100,,61
2015-01-05 01:00:00,6.0,1001.9,85,1.4,217,24.7,38.9,100,,61
2015-01-05 02:00:00,6.4,1000.4,82,1.8,247,21.5,37.1,100,,61
2015-01-05 03:00:00,5.6,1000.7,87,1.3,296,30.4,46.1,100,,71
2015-01-05 04:00:00,3.1,1001.9,97,0.3,300,32.7,49.7,96,,71
2015-01-05 05:00:00,2.4,1002.7,93,0.0,296,35.9,53.3,89,,3
2015-01-05 06:00:00,2.5,1003.6,90,0.0,293,32.4,54.7,89,,3
2015-01-05 07:00:00,2.3,1005.0,90,0.0,292,29.9,52.9,76,,2
2015-01-05 08:00:00,2.0,1006.0,90,0.0,290,27.6,48.6,73,,2
2015-01-05 09:00:00,1.6,1006.9,90,0.0,286,25.5,44.6,64,,2
2015-01-05 10:00:00,1.6,1007.4,86,0.0,281,24.6,38.9,42,,1
2015-01-05 11:00:00,1.8,1007.7,84,0.0,278,24.7,38.9,36,,1
2015-01-05 12:00:00,2.1,1008.0,81,0.0,278,25.1,39.6,47,,1
2015-01-05 13:00:00,2.4,1007.7,76,0.0,275,26.0,39.2,51,,2
2015-01-05 14:00:00,2.7,1008.6,72,0.0,275,26.8,40.0,48,,1
