date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2016-01-01 00:00:00,-5.3,1023.8,75,0.2,42,22.9,37.4,72,,71
2016-01-01 01:00:00,-5.6,1023.2,75,0.2,52,23.8,34.9,78,,71
2016-01-01 02:00:00,-5.7,1023.2,75,0.1,59,22.3,32.8,72,,71
2016-01-01 03:00:00,-5.8,1023.4,75,0.1,64,20.4,30.6,74,,71
2016-01-01 04:00:00,-5.9,1023.3,74,0.0,67,19.5,28.8,63,,71
2016-01-01 05:00:00,-6.0,1023.6,74,0.0,72,18.9,27.0,76,,71
2016-01-01 06:00:00,-6.0,1023.4,76,0.0,78,18.4,26.3,72,,71
2016-01-01 07:00:00,-6.0,1023.7,77,0.0,82,17.5,27.0,76,,2
2016-01-01 08:00:00,-6.0,1023.7,78,0.0,83,16.7,27.7,64,,2
2016-01-01 09:00:00,-6.1,1024.0,78,0.0,84,17.0,28.1,60,,2
2016-01-01 10:00:00,-6.2,1024.2,78,0.0,82,16.3,27.4,48,,1
2016-01-01 11:00:00,-6.1,1024.3,76,0.0,78,15.8,23.4,47,,1
2016-01-01 12:00:00,-6.0,1024.2,73,0.0,75,14.9,22.7,49,,1
2016-01-01 13:00:00,-5.8,1024.0,70,0.0,68,14.7,22.0,50,,2
2016-01-01 14:00:00,-5.6,1024.2,67,0.0,62,14.3,20.5,54,,2
2016-01-01 15:00:00,-5.3,1024.0,64,0.0,54,12.9,19.8,73,,2
2016-01-01 16:00:00,-5.1,1024.3,62,0.0,51,12.0,19.8,72,,2
2016-01-01 17:00:00,-4.9,1024.3,61,0.0,53,12.1,20.5,80,,71
2016-01-01 18:00:00,-4.9,1024.5,60,0.0,58,13.1,21.2,88,,71
2016-01-01 19:00:00,-5.0,1024.7,64,0.0,64,14.0,22.3,82,,71
2016-01-01 20:00:00,-5.4,1024.8,70,0.0,71,15.3,27.0,84,,71
2016-01-01 21:00:00,-5.5,1024.8,74,0.0,78,16.9,29.2,68,,2
2016-01-01 22:00:00,-5.7,1024.9,78,0.0,86,19.1,28.1,42,,71
2016-01-01 23:00:00,-5.9,1025.0,82,0.0,89,20.9,30.2,49,,71
2016-01-02 00:00:00,-6.0,1024.7,81,0.0,90,22.0,32.4,47,,1
2016-01-02 01:00:00,-5.9,1025.0,82,0.0,88,21.6,32.8,49,,1
2016-01-02 02:00:00,-6.0,1024.4,83,0.0,84,22.1,33.8,39,,1
2016-01-02 03:00:00,-6.0,1024.7,85,0.0,84,22.8,35.6,49,,1
2016-01-02 04:00:00,-6.0,1024.6,88,0.0,84,23.5,37.4,51,,2
2016-01-02 05:00:00,-6.4,1024.5,88,0.0,83,24.6,38.9,54,,2
2016-01-02 06:00:00,-6.5,1024.5,89,0.0,82,24.7,40.7,67,,2
2016-01-02 07:00:00,-6.6,1024.6,89,0.0,79,24.2,41.4,74,,2
2016-01-02 08:00:00,-6.7,1024.7,89,0.0,76,24.1,40.7,75,,2
