date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2020-01-01 00:00:00,8.7,1014.0,78,0.1,241,29.2,40.7,100,,51
2020-01-01 01:00:00,8.5,1013.7,78,0.2,260,26.3,39.2,100,,51
2020-01-01 02:00:00,7.9,1013.6,76,0.8,274,23.1,35.3,100,,53
2020-01-01 03:00:00,7.3,1012.9,72,1.0,274,19.1,31.7,100,,55
2020-01-01 04:00:00,7.3,1012.4,75,0.3,266,22.4,29.5,100,,51
2020-01-01 05:00:00,7.2,1011.9,79,0.4,272,28.8,38.2,100,,51
2020-01-01 06:00:00,6.4,1011.7,86,0.8,273,30.3,41.0,100,,53
2020-01-01 07:00:00,6.2,1011.5,85,0.6,279,31.0,42.1,100,,53
2020-01-01 08:00:00,5.7,1012.0,81,0.5,300,29.0,42.8,100,,53
2020-01-01 09:00:00,5.6,1012.2,84,0.2,304,30.7,43.2,100,,51
2020-01-01 10:00:00,5.6,1012.7,84,0.0,304,33.2,46.1,99,,3
2020-01-01 11:00:00,5.7,1013.2,82,0.0,309,34.0,46.8,76,,2
2020-01-01 12:00:00,5.7,1013.3,81,0.1,316,36.2,50.8,71,,51
2020-01-01 13:00:00,5.9,1013.4,78,0.2,319,32.7,51.1,88,,51
2020-01-01 14:00:00,6.0,1013.8,78,0.1,321,30.5,46.4,89,,51
2020-01-01 15:00:00,5.6,1014.9,80,0.2,324,30.7,42.8,83,,51
2020-01-01 16:00:00,5.6,1015.9,78,0.0,326,29.6,42.8,90,,3
2020-01-01 17:00:00,5.7,1016.5,77,0.1,325,26.7,41.4,79,,51
2020-01-01 18:00:00,5.4,1017.3,78,0.1,323,26.5,37.8,85,,51
2020-01-01 19:00:00,4.9,1018.2,85,0.2,323,25.7,37.8,50,,51
2020-01-01 20:00:00,4.9,1019.0,86,0.3,331,25.6,36.4,52,,51
2020-01-01 21:00:00,5.0,1019.6,85,0.3,338,26.3,37.4,48,,51
2020-01-01 22:00:00,5.3,1020.3,81,0.2,337,28.2,39.2,29,,51
2020-01-01 23:00:00,5.0,1020.7,84,0.0,337,28.6,41.0,28,,1
2020-01-02 00:00:00,4.7,1021.2,85,0.0,339,27.7,40.7,37,,1
2020-01-02 01:00:00,4.6,1021.6,83,0.0,344,26.7,39.6,37,,1
2020-01-02 02:00:00,4.5,1022.2,81,0.0,344,25.4,38.5,47,,1
2020-01-02 03:00:00,4.6,1022.7,87,0.0,346,25.2,36.7,40,,1
2020-01-02 04:00:00,4.5,1023.2,87,0.0,346,24.9,36.4,30,,1
2020-01-02 05:00:00,4.4,1023.4,87,0.1,346,24.4,35.6,28,,51
2020-01-02 06:00:00,4.2,1024.0,87,0.3,348,24.3,36.0,38,,51
2020-01-02 07:00:00,4.2,1024.7,87,0.1,348,25.1,35.6,45,,51
2020-01-02 08:00:00,4.2,1025.1,87,0.1,352,24.7,36.0,43,,51
2020-01-02 09:00:00,4.0,1025.7,89,0.1,5,22.8,35.6,32,,51
2020-01-02 10:00:00,4.2,1026.0,85,0.0,21,18.9,32.8,35,,1
2020-01-02 11:00:00,4.5,1026.2,78,0.0,11,18.7,28.4,49,,1
2020-01-02 12:00:00,4.6,1026.2,78,0.0,357,22.3,31.3,75,,2
2020-01-02 13:00:00,4.5,1026.4,81,0.0,349,27.5,38.9,78,,2
2020-01-02 14:00:00,4.3,1026.4,76,0.0,348,24.6,39.6,41,,1
