ВыгрузкаНаСклад,Наим. ЕТСНГ,Штабель,ПогрузкаНаСудно,"На склад, тн","На судно, тн",Склад
2019-01-02,E5,1,2019-02-08,11984.1925,11984.1925,3
2019-01-02,A1,34,2019-02-12,3913.825,3913.825,3
2019-01-02,A1,37,2019-02-23,11626.911999999998,11626.911999999998,3
2019-01-02,A1,44,2019-01-04,184.7815,184.7815,4
2019-01-02,C3,22,2019-02-07,9520.331499999998,9520.331499999998,3
2019-01-02,C3,28,2019-01-15,35438.284999999996,35438.284999999996,4
2019-01-02,B2,44,2019-01-12,184.518,184.518,4
2019-01-03,G7,9,2019-03-11,550.7405,550.7405,4
2019-01-03,G7,9,2019-03-11,9776.275,9776.275,4
2019-01-03,A1,21,2019-01-22,5278.8655,5278.8655,3
2019-01-03,A1,37,2019-02-23,22729.3825,22729.3825,3
2019-01-03,A1,6,2019-02-08,1289.7389999999998,1289.7389999999998,4
2019-01-03,A1,44,2019-01-22,2723.145,2661.486,4
2019-01-03,A1,44,2019-01-04,9254.902,9117.1,4
2019-01-03,C3,28,2019-01-15,6759.6675,6759.6675,4
2019-01-03,B2,44,2019-01-12,6326.014499999999,6326.014499999999,4
2019-01-04,G7,9,2019-03-11,569.0325,569.0325,4
2019-01-04,G7,9,2019-03-11,183.311,183.311,4
2019-01-04,A1,21,2019-01-22,31539.42,31539.42,3
2019-01-04,A1,37,2019-02-23,554.353,554.353,3
2019-01-04,A1,50,2019-02-08,9949.4455,9949.4455,3
2019-01-04,A1,6,2019-02-08,2210.986,2210.986,4
2019-01-04,C3,22,2019-02-07,1501.2275,1501.2275,3
2019-01-04,C3,24,2019-01-13,371.9685,371.9685,4
2019-01-04,C3,28,2019-01-13,1300.2875,1300.2875,4
2019-01-04,B2,21,2019-01-12,17369.6055,17369.6055,3
2019-01-05,A1,21,2019-01-22,4560.5644999999995,4560.5644999999995,3
2019-01-05,A1,22,2019-02-07,36239.639500000005,36239.639500000005,3
2019-01-05,A1,37,2019-02-23,11628.782,11628.782,3
2019-01-05,A1,6,2019-02-08,20451.6375,20451.6375,4
2019-01-05,A1,12,2019-01-13,1897.6335,1897.6335,4
2019-01-05,C3,22,2019-02-07,7752.0765,7752.0765,3
2019-01-05,C3,28,2019-01-13,559.2915,559.2915,4
2019-01-05,B2,21,2019-01-12,12335.7355,12335.7355,3
2019-01-06,E5,1,2019-02-08,11427.706,11427.706,3
2019-01-06,A1,22,2019-02-07,22996.9455,22996.9455,3
2019-01-06,A1,37,2019-02-23,6435.094999999999,6435.094999999999,3
2019-01-06,A1,12,2019-01-17,16298.0275,16298.0275,4
2019-01-06,C3,24,2019-01-17,1556.503,1556.503,4
2019-01-06,C3,28,2019-01-17,369.4355,369.4355,4
2019-01-06,B2,21,2019-01-22,11085.1135,11085.1135,3
2019-01-07,G7,9,2019-03-11,1168.512,1168.512,4
2019-01-07,E5,1,2019-02-08,11984.1925,11984.1925,3
2019-01-07,A1,21,2019-01-22,186.116,186.116,3
2019-01-07,A1,22,2019-02-07,186.116,186.116,3
2019-01-07,A1,37,2019-02-23,7197.46,7197.46,3
2019-01-07,A1,6,2019-02-08,24320.863,24293.136,4
2019-01-07,A1,6,2019-03-21,4237.726000000001,4200.343,4
2019-01-07,A1,6,2019-02-17,12897.4325,12594.042,4
2019-01-07,A1,12,2019-01-17,372.504,372.504,4
