date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2021-01-01 00:00:00,11.6,1016.2,89,0.0,140,19.4,24.1,77,,2
2021-01-01 01:00:00,11.7,1015.9,88,0.0,149,19.4,24.5,86,,3
2021-01-01 02:00:00,11.6,1015.9,87,0.0,156,18.9,24.1,84,,3
2021-01-01 03:00:00,11.3,1015.6,89,0.0,158,20.2,24.8,82,,3
2021-01-01 04:00:00,11.3,1015.6,88,0.0,160,21.1,26.6,26,,1
2021-01-01 05:00:00,11.4,1015.6,88,0.0,172,20.0,26.6,32,,1
2021-01-01 06:00:00,11.4,1015.4,88,0.0,172,18.9,25.2,6,,0
2021-01-01 07:00:00,11.4,1015.5,89,0.0,172,19.2,24.5,0,,0
2021-01-01 08:00:00,11.4,1016.1,89,0.0,181,18.4,24.5,0,,0
2021-01-01 09:00:00,11.4,1016.6,89,0.0,173,17.4,23.4,0,,0
2021-01-01 10:00:00,11.5,1016.6,89,0.0,167,18.5,23.4,0,,0
2021-01-01 11:00:00,11.6,1016.8,88,0.0,169,19.1,23.8,0,,0
2021-01-01 12:00:00,11.6,1016.7,88,0.0,169,18.4,23.8,0,,0
2021-01-01 13:00:00,11.6,1016.6,88,0.0,170,17.9,23.0,0,,0
2021-01-01 14:00:00,11.7,1016.5,89,0.0,170,17.9,22.7,1,,0
2021-01-01 15:00:00,11.7,1016.4,90,0.0,164,16.5,23.0,4,,0
2021-01-01 16:00:00,11.6,1016.6,91,0.0,167,17.4,21.2,3,,0
2021-01-01 17:00:00,11.6,1017.0,91,0.0,165,17.1,21.2,10,,0
2021-01-01 18:00:00,11.6,1017.2,91,0.0,162,18.6,22.7,18,,0
2021-01-01 19:00:00,11.6,1017.5,91,0.0,162,21.2,26.3,18,,0
2021-01-01 20:00:00,11.6,1018.0,91,0.0,179,21.6,27.4,7,,0
2021-01-01 21:00:00,11.6,1018.2,90,0.0,200,18.0,27.0,33,,1
2021-01-01 22:00:00,11.6,1018.7,88,0.0,240,18.2,22.7,72,,2
2021-01-01 23:00:00,11.4,1018.9,89,0.0,225,12.2,22.7,98,,3
2021-01-02 00:00:00,11.7,1019.5,88,0.0,218,18.7,21.6,51,,2
2021-01-02 01:00:00,11.7,1020.0,86,0.0,233,22.9,28.8,14,,0
2021-01-02 02:00:00,11.3,1020.5,91,0.0,247,20.0,28.8,35,,1
2021-01-02 03:00:00,11.1,1021.6,94,0.0,250,17.2,25.2,42,,1
2021-01-02 04:00:00,10.9,1021.9,94,0.0,252,16.6,21.2,76,,2
2021-01-02 05:00:00,10.6,1022.6,95,0.0,264,14.8,20.9,61,,2
2021-01-02 06:00:00,10.1,1023.0,97,0.0,290,11.5,18.7,61,,2
2021-01-02 07:00:00,9.7,1023.6,80,0.0,305,10.6,15.5,17,,0
2021-01-02 08:00:00,9.1,1024.6,72,0.0,302,12.8,18.0,5,,0
2021-01-02 09:00:00,8.6,1025.3,78,0.0,310,12.8,19.1,1,,0
2021-01-02 10:00:00,8.6,1026.1,80,0.0,313,13.2,18.7,1,,0
2021-01-02 11:00:00,8.8,1026.8,80,0.0,312,13.5,19.8,1,,0
2021-01-02 12:00:00,9.2,1026.8,78,0.0,329,10.5,19.4,1,,0
2021-01-02 13:00:00,9.4,1026.8,77,0.0,349,7.7,15.1,1,,0
2021-01-02 14:00:00,9.5,1026.9,79,0.0,9,8.8,12.6,0,,0
2021-01-02 15:00:00,9.8,1027.1,80,0.0,18,10.6,15.8,1,,0
2021-01-02 16:00:00,9.1,1027.7,85,0.0,26,14.0,19.1,19,,0
2021-01-02 17:00:00,7.8,1028.4,90,0.0,33,14.6,20.9,24,,1
2021-01-02 18:00:00,6.8,1028.8,93,0.0,35,15.0,22.3,6,,0
2021-01-02 19:00:00,6.7,1029.5,94,0.0,45,15.8,23.0,96,,3
2021-01-02 20:00:00,6.5,1029.8,95,0.0,52,15.6,24.1,100,,3
2021-01-02 21:00:00,6.3,1030.0,96,0.0,55,14.0,23.4,100,,3
