Дата составления,Груз,"Вес по акту, тн",Склад,Дата начала,Дата оконч.,Нач.форм.штабеля,Штабель
2019-03-19,A1,255.0,4,2019-03-19 09:00:00,2019-03-19 21:00:00,2018-11-23 00:00:00,6
2019-03-24,B2,42.5,3,2019-03-24 09:00:00,2019-03-24 21:00:00,2019-01-03 00:00:00,21
2019-03-25,B2,72.25,3,2018-03-24 21:00:00,2019-03-25 09:00:00,2019-01-03 00:00:00,21
2019-06-11,A1,127.5,4,2019-06-11 09:00:00,2019-06-11 21:00:00,2019-04-28 23:55:00,15
2019-07-07,A1,127.5,4,2019-07-06 21:00:00,2019-07-07 09:00:00,2019-05-19 00:00:00,22
2019-07-10,A1,85.0,4,2019-07-10 09:00:00,2019-07-10 21:00:00,2019-05-19 00:00:00,22
2019-07-11,A1,85.0,4,2019-07-10 21:00:00,2019-07-11 09:00:00,2019-05-19 00:00:00,22
2019-07-12,A1,170.0,4,2019-07-11 21:00:00,2019-07-12 09:00:00,2019-05-19 00:00:00,22
2019-07-14,A1,170.0,4,2019-07-14 09:00:00,2019-07-14 21:00:00,2019-05-19 00:00:00,22
2019-07-14,A1,357.0,4,2019-07-14 09:00:00,2019-07-14 21:00:00,2019-05-19 00:00:00,22
2019-07-14,A1,178.5,3,2019-07-14 09:00:00,2019-07-14 21:00:00,2019-06-14 00:00:00,13
2019-07-15,A1,2125.0,4,2019-07-14 21:00:00,2019-07-15 09:00:00,2019-05-19 00:00:00,22
2019-07-15,A1,1020.0,3,2019-07-15 09:00:00,2019-07-15 21:00:00,2019-06-14 00:00:00,13
2019-07-15,A1,51.0,4,2019-07-15 09:00:00,2019-07-15 21:00:00,2019-03-18 00:00:00,16
2019-07-16,A1,63.75,4,2019-07-15 21:00:00,2019-07-16 21:00:00,2019-03-18 00:00:00,16
2019-07-18,A1,680.0,4,2019-07-17 21:00:00,2019-07-18 09:00:00,2019-05-19 00:00:00,22
2019-07-20,A1,1275.0,4,2019-07-19 21:00:00,2019-07-20 09:00:00,2019-05-19 00:00:00,22
2019-07-21,A1,1105.0,4,2019-07-21 09:00:00,2019-07-21 21:00:00,2019-05-19 00:00:00,22
2019-07-22,A1,1360.0,4,2019-07-22 09:00:00,2019-07-22 21:00:00,2019-05-19 00:00:00,22
2019-07-22,A1,297.5,4,2019-07-22 09:00:00,2019-07-22 21:00:00,2019-05-19 00:00:00,22
2019-07-24,A1,850.0,4,2019-07-24 09:00:00,2019-07-24 21:00:00,2019-05-19 00:00:00,22
2019-07-26,A1,850.0,4,2019-07-25 21:00:00,2019-07-26 09:00:00,2019-05-19 00:00:00,22
2019-07-26,A1,255.0,4,2019-07-26 09:00:00,2019-07-26 21:00:00,2019-05-19 00:00:00,22
2019-07-28,A1,255.0,4,2019-07-28 09:00:00,2019-07-28 21:00:00,2019-05-19 00:00:00,22
2019-07-28,A1,510.0,3,2019-07-28 09:00:00,2019-07-28 21:00:00,2019-03-31 00:00:00,4
2019-07-29,A1,144.5,4,2019-07-29 09:00:00,2019-07-29 21:00:00,2019-05-19 00:00:00,22
2019-07-30,A1,12750.0,4,2019-07-29 21:00:00,2019-07-30 09:00:00,2019-05-19 00:00:00,22
2019-07-31,A1,595.0,4,2019-07-31 09:00:00,2019-07-31 21:00:00,2019-05-19 00:00:00,22
2019-08-01,A1,850.0,4,2019-08-01 09:00:00,2019-08-01 21:00:00,2019-05-19 00:00:00,22
2019-08-02,A1,255.0,4,2019-08-02 09:00:00,2019-08-02 21:00:00,2018-08-07 00:00:00,22
2019-08-02,A1,850.0,4,2019-08-01 21:00:00,2019-08-02 09:00:00,2019-05-19 00:00:00,22
2019-08-04,A1,680.0,4,2019-08-03 21:00:00,2019-08-04 09:00:00,2019-03-26 00:00:00,22
2019-08-04,A1,127.5,4,2019-08-04 09:00:00,2019-08-04 21:00:00,2019-03-26 00:00:00,22
2019-08-04,A1,174.25,3,2019-08-04 09:00:00,2019-08-04 21:00:00,2019-07-18 01:31:00,1
2019-08-05,A1,255.0,3,2019-08-04 21:00:00,2019-08-05 09:00:00,2019-07-18 01:31:00,1
2019-08-06,A1,170.0,3,2019-08-05 21:00:00,2019-08-06 09:00:00,2019-07-18 01:31:00,1
2019-08-06,A1,238.0,3,2019-08-06 09:00:00,2019-08-06 21:00:00,2019-07-18 01:31:00,1
