Склад,Штабель,Марка,Максимальная температура,Пикет,Дата акта,Смена
3,43,A1,36.2,3045-3075,2020-08-05,219.0
4,39,A1,109.4,4025-4047,2020-08-05,219.0
4,23,A1,38.6,4048-4052,2020-08-05,219.0
4,46,A1,37.3,4057-4077,2020-08-05,219.0
4,12,A1,36.4,4091-4112,2020-08-05,219.0
6,45,A1,37.0,6017-6023,2020-08-05,219.0
6,1,A1,45.6,6024-6034,2020-08-05,219.0
6,10,A1,39.3,6045-6053,2020-08-05,219.0
6,5,A1,36.5,6057-6062,2020-08-05,219.0
6,1,A1,190.0,6063-6081,2020-08-05,219.0
6,4,A1,243.1,6082-6094,2020-08-05,219.0
3,43,A1,36.2,3045-3075,2020-08-05,219.0
4,39,A1,109.4,4025-4047,2020-08-05,219.0
4,23,A1,38.6,4048-4052,2020-08-05,219.0
4,46,A1,37.3,4057-4077,2020-08-05,219.0
4,12,A1,36.4,4091-4112,2020-08-05,219.0
6,45,A1,37.0,6017-6023,2020-08-05,219.0
6,1,A1,45.6,6024-6034,2020-08-05,219.0
6,10,A1,39.3,6045-6053,2020-08-05,219.0
6,5,A1,36.5,6057-6062,2020-08-05,219.0
6,1,A1,190.0,6063-6081,2020-08-05,219.0
6,4,A1,243.1,6082-6094,2020-08-05,219.0
3,7,A1-СКГ,19.2,,2019-11-23,921.0
3,36,A1-МТ-ШУБ,17.7,,2019-11-23,921.0
3,17,A1-КРУ,20.5,,2019-11-23,921.0
3,31,A1-СА-ШУБ,18.3,,2019-11-23,921.0
4,47,A1-СУЭК,16.1,,2019-11-23,921.0
4,46,A1,16.1,,2019-11-23,921.0
4,9,A1-КТК,22.6,,2019-11-23,921.0
4,19,A1-КТК,19.9,,2019-11-23,921.0
4,10,A1-СУЭК,16.7,,2019-11-23,921.0
3,7,A1-СКГ,17.3,,2019-11-24,219.0
3,36,A1-МТ-ШУБ,14.8,,2019-11-24,219.0
3,17,A1-КРУ,13.5,,2019-11-24,219.0
3,31,A1-СА-ШУБ,14.8,,2019-11-24,219.0
4,47,A1-СУЭК,19.4,,2019-11-24,219.0
4,46,A1,32.8,,2019-11-24,219.0
4,9,A1-КТК,21.3,,2019-11-24,219.0
4,19,A1-КТК,18.6,,2019-11-24,219.0
4,10,A1-СУЭК,17.1,,2019-11-24,219.0
3,7,A1-СКГ,16.2,,2019-11-24,921.0
3,36,A1-МТ-ШУБ,16.9,,2019-11-24,921.0
3,17,A1-КРУ,16.6,,2019-11-24,921.0
3,31,A1-СА-ШУБ,18.1,,2019-11-24,921.0
4,47,A1-СУЭК,19.2,,2019-11-24,921.0
4,46,A1,36.2,,2019-11-24,921.0
4,9,A1-КТК,20.1,,2019-11-24,921.0
4,19,A1-КТК,19.2,,2019-11-24,921.0
4,10,A1-СУЭК,18.6,,2019-11-24,921.0
3,7,A1-СКГ,14.1,,2019-11-25,219.0
3,36,A1-МТ-ШУБ,11.8,,2019-11-25,219.0
3,17,A1-КРУ,11.2,,2019-11-25,219.0
3,31,A1-СА-ШУБ,14.3,,2019-11-25,219.0
4,47,A1-СУЭК,23.1,,2019-11-25,219.0
4,46,A1,28.1,,2019-11-25,219.0
4,9,A1-КТК,33.4,,2019-11-25,219.0
4,19,A1-КТК,15.3,,2019-11-25,219.0
4,10,A1-СУЭК,18.4,,2019-11-25,219.0
3,7,A1-СКГ,18.8,,2019-11-25,921.0
3,36,A1-МТ-ШУБ,11.2,,2019-11-25,921.0
3,17,A1-КРУ,13.3,,2019-11-25,921.0
3,31,A1-СА-ШУБ,12.7,,2019-11-25,921.0
4,47,A1-СУЭК,17.8,,2019-11-25,921.0
4,46,A1,23.3,,2019-11-25,921.0
4,9,A1-КТК,44.7,4042-4047,2019-11-25,921.0
4,19,A1-КТК,19.9,,2019-11-25,921.0
4,10,A1-СУЭК,16.7,,2019-11-25,921.0
