date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2019-01-01 00:00:00,2.3,1025.3,95,0.1,352,22.2,33.1,99,,51
2019-01-01 01:00:00,2.3,1025.6,93,0.1,344,21.0,32.8,98,,51
2019-01-01 02:00:00,2.3,1025.9,91,0.0,340,21.1,31.7,99,,3
2019-01-01 03:00:00,2.6,1026.1,89,0.0,346,21.5,31.7,98,,3
2019-01-01 04:00:00,2.7,1026.3,87,0.0,346,20.0,31.7,100,,3
2019-01-01 05:00:00,2.8,1026.2,87,0.0,352,19.7,30.2,100,,3
2019-01-01 06:00:00,2.7,1026.2,87,0.0,356,18.8,29.5,100,,3
2019-01-01 07:00:00,2.7,1026.4,87,0.0,358,17.3,28.4,100,,3
2019-01-01 08:00:00,2.6,1026.5,87,0.1,355,16.3,26.6,100,,51
2019-01-01 09:00:00,2.5,1027.0,88,0.0,357,15.1,25.6,100,,3
2019-01-01 10:00:00,2.6,1026.8,86,0.1,2,12.6,24.1,100,,51
2019-01-01 11:00:00,2.8,1026.5,83,0.1,353,9.4,20.9,100,,51
2019-01-01 12:00:00,2.9,1026.0,81,0.1,332,8.5,17.3,100,,51
2019-01-01 13:00:00,2.9,1025.4,80,0.1,319,7.7,15.8,100,,51
2019-01-01 14:00:00,3.2,1025.1,78,0.0,315,7.1,15.1,100,,3
2019-01-01 15:00:00,3.8,1024.8,77,0.0,17,3.8,14.4,100,,3
2019-01-01 16:00:00,4.0,1024.3,75,0.0,38,5.9,12.2,100,,3
2019-01-01 17:00:00,4.2,1024.1,73,0.0,74,6.7,12.6,100,,3
2019-01-01 18:00:00,3.9,1023.8,81,0.0,71,12.2,19.1,72,,2
2019-01-01 19:00:00,3.9,1023.2,82,0.0,83,12.7,21.2,75,,2
2019-01-01 20:00:00,4.1,1022.8,83,0.0,84,14.5,22.0,69,,2
2019-01-01 21:00:00,4.0,1022.2,87,0.2,83,17.8,26.3,100,,51
2019-01-01 22:00:00,3.8,1021.6,89,0.3,80,16.5,26.6,86,,51
2019-01-01 23:00:00,3.9,1020.7,90,0.2,69,18.9,27.7,49,,51
2019-01-02 00:00:00,4.4,1020.0,91,0.0,81,14.2,28.1,51,,2
2019-01-02 01:00:00,5.0,1019.3,89,0.0,77,3.3,22.0,59,,2
2019-01-02 02:00:00,5.2,1018.6,91,0.0,360,2.5,8.6,71,,2
2019-01-02 03:00:00,6.4,1018.0,68,0.2,211,17.6,16.6,64,,51
2019-01-02 04:00:00,6.4,1017.4,68,0.1,217,13.9,24.8,72,,51
2019-01-02 05:00:00,6.4,1016.4,68,0.0,221,10.0,20.5,73,,2
2019-01-02 06:00:00,6.6,1016.0,66,0.0,210,5.0,15.8,88,,3
2019-01-02 07:00:00,6.3,1015.7,70,0.0,180,11.2,15.5,69,,2
2019-01-02 08:00:00,6.1,1015.8,76,0.2,195,15.3,22.0,94,,51
2019-01-02 09:00:00,6.4,1015.7,80,0.1,188,12.7,28.1,99,,51
2019-01-02 10:00:00,7.2,1015.0,73,0.2,173,14.2,25.9,95,,51
2019-01-02 11:00:00,7.7,1014.5,68,0.6,167,17.0,23.8,92,,53
2019-01-02 12:00:00,8.7,1013.3,57,0.5,164,19.1,24.8,82,,53
2019-01-02 13:00:00,8.5,1012.4,64,0.1,176,22.7,29.2,96,,51
2019-01-02 14:00:00,8.1,1011.9,73,0.2,179,27.7,36.7,99,,51
